                                                                                            56




                                    CITY OF CHARLOTTETOWN
                                    2025/2026 Operating Budget

Detailed Breakdown of Budget Item                           -         Notes/Comments

                                                0           -
Mayor and Council                                           -     0

                                                0           -     0
 Public Relations:                                          -     0
Council Events                                              -     0
New Year's Levee                                            -     0
Seniors' Events                                             -     0
Luncheons and Receptions                                    -     0
Family Violence Program                                     -     0
Promotional Material                                        -     0
Christmas Campaign                                          -     0
City Hall / Plaques / Pictures                              -     0
Lapel Pins and Flags                                        -     0
Community Relations                                         -     0
Promotional Material                                        -     0
Photography                                                 -     0
Copier / Stationary / Printing                              -     0
Retirement Gifts                                            -     0
Promotions                                                  -     0
                                                0       210,300   0




                                                                                       56
